date,portfolio_value,cash,n_positions,regime
2023-12-27,88692.93997119488,88692.93997119488,0,0
2023-12-28,88692.93997119488,88692.93997119488,0,0
2023-12-29,88692.93997119488,88692.93997119488,0,0
2024-01-01,88692.93997119488,88692.93997119488,0,0
2024-01-02,88692.93997119488,88692.93997119488,0,0
2024-01-03,88692.93997119488,88692.93997119488,0,0
2024-01-04,88692.93997119488,88692.93997119488,0,0
2024-01-05,88692.93997119488,88692.93997119488,0,0
2024-01-08,88692.93997119488,88692.93997119488,0,0
2024-01-09,88692.93997119488,88692.93997119488,0,0
2024-01-10,88692.93997119488,88692.93997119488,0,0
2024-01-11,88692.93997119488,88692.93997119488,0,0
2024-01-12,88692.93997119488,88692.93997119488,0,0
2024-01-15,88692.93997119488,88692.93997119488,0,0
2024-01-16,88692.93997119488,88692.93997119488,0,0
2024-01-17,88692.93997119488,88692.93997119488,0,0
2024-01-18,88692.93997119488,88692.93997119488,0,0
2024-01-19,88692.93997119488,88692.93997119488,0,0
2024-01-22,88692.93997119488,88692.93997119488,0,0
2024-01-23,88692.93997119488,88692.93997119488,0,0
2024-01-24,88692.93997119488,88692.93997119488,0,0
2024-01-25,88692.93997119488,88692.93997119488,0,0
2024-01-26,88692.93997119488,88692.93997119488,0,0
2024-01-29,88692.93997119488,88692.93997119488,0,0
2024-01-30,88692.93997119488,88692.93997119488,0,0
2024-01-31,88692.93997119488,88692.93997119488,0,0
2024-02-01,88692.93997119488,88692.93997119488,0,0
2024-02-02,88692.93997119488,88692.93997119488,0,0
2024-02-05,88692.93997119488,88692.93997119488,0,0
2024-02-06,88692.93997119488,88692.93997119488,0,0
2024-02-07,88692.93997119488,88692.93997119488,0,0
2024-02-08,88692.93997119488,88692.93997119488,0,0
2024-02-09,88692.93997119488,88692.93997119488,0,0
2024-02-12,88692.93997119488,88692.93997119488,0,0
2024-02-13,88692.93997119488,88692.93997119488,0,0
2024-02-14,88692.93997119488,88692.93997119488,0,0
2024-02-15,88692.93997119488,88692.93997119488,0,0
2024-02-16,88692.93997119488,88692.93997119488,0,0
2024-02-19,88692.93997119488,88692.93997119488,0,0
2024-02-20,88692.93997119488,88692.93997119488,0,0
2024-02-21,88692.93997119488,88692.93997119488,0,0
2024-02-22,88692.93997119488,88692.93997119488,0,0
2024-02-23,88692.93997119488,88692.93997119488,0,0
2024-02-26,88692.93997119488,88692.93997119488,0,0
2024-02-27,88692.93997119488,88692.93997119488,0,0
2024-02-28,88692.93997119488,88692.93997119488,0,0
2024-02-29,88692.93997119488,88692.93997119488,0,0
2024-03-01,88692.93997119488,88692.93997119488,0,0
2024-03-04,88692.93997119488,88692.93997119488,0,0
2024-03-05,88692.93997119488,88692.93997119488,0,0
2024-03-06,88692.93997119488,88692.93997119488,0,0
2024-03-07,88692.93997119488,88692.93997119488,0,0
2024-03-08,88692.93997119488,88692.93997119488,0,0
2024-03-11,88692.93997119488,88692.93997119488,0,0
2024-03-12,88692.93997119488,88692.93997119488,0,0
2024-03-13,88692.93997119488,88692.93997119488,0,0
2024-03-14,88692.93997119488,88692.93997119488,0,0
2024-03-15,88692.93997119488,88692.93997119488,0,0
2024-03-18,88692.93997119488,88692.93997119488,0,0
2024-03-19,88692.93997119488,88692.93997119488,0,0
2024-03-20,88692.93997119488,88692.93997119488,0,0
2024-03-21,88692.93997119488,88692.93997119488,0,0
2024-03-22,88692.93997119488,88692.93997119488,0,0
2024-03-25,88692.93997119488,88692.93997119488,0,0
2024-03-26,88692.93997119488,88692.93997119488,0,0
2024-03-27,88692.93997119488,88692.93997119488,0,0
2024-03-28,88692.93997119488,88692.93997119488,0,0
2024-03-29,88692.93997119488,88692.93997119488,0,0
2024-04-01,88692.93997119488,88692.93997119488,0,0
2024-04-02,88692.93997119488,88692.93997119488,0,0
2024-04-03,88692.93997119488,88692.93997119488,0,0
2024-04-04,88692.93997119488,88692.93997119488,0,0
2024-04-05,88692.93997119488,88692.93997119488,0,0
2024-04-08,88692.93997119488,88692.93997119488,0,0
2024-04-09,88692.93997119488,88692.93997119488,0,0
2024-04-10,88692.93997119488,88692.93997119488,0,0
